year	volume	area
1926	0	0
1927	420000	0
1928	420000	0
1929	420000	0
1930	420000	0
1931	965050	710743
1932	420000	0
1933	420000	0
1934	420000	0
1935	420000	0
1936	420000	0
1937	420000	0
1938	920000	0
1939	370000	0
1940	370000	0
1941	370000	0
1942	370000	0
1943	370000	0
1944	370000	0
1945	370000	0
1946	370000	0
1947	370000	0
1948	370000	0
1949	370000	0
1950	270000	0
1951	270000	0
1952	270000	0
1953	270000	0
1954	270000	0
1955	270000	0
1956	270000	0
1957	270000	0
1958	270000	0
1959	270000	0
1960	280000	0
1961	280000	0
1962	280000	0
1963	280000	0
1964	300000	0
1965	7636675	343245
1966	280000	0
1967	280000	0
1968	280000	0
1969	780000	0
1970	280000	0
1971	280000	0
1972	280000	0
1973	280000	0
1974	280000	0
1975	280000	0
1976	280000	0
1977	280000	0
1978	280000	0
1979	280000	0
1980	280000	0
1981	280000	0
1982	280000	0
1983	280000	0
1984	280000	0
1985	280000	0
1986	280000	0
1987	280000	0
1988	280000	0
1989	280000	0
1990	280000	0
1991	280000	0
1992	280000	0
1993	280000	0
1994	280000	0
1995	3280000	0
1996	280000	0
1997	280000	0
1998	2280000	0
1999	280000	0
2000	280000	0
2001	280000	0
2002	280000	0
2003	280000	0
2004	280000	0
2005	280000	0
2006	280000	0
2007	280000	0
2008	280000	0
2009	280000	0
2010	280000	0
2011	280000	0
2012	280000	0
2013	280000	0
2014	280000	0
2015	280000	0
2016	280000	0
2017	280000	0
2018	280000	0
2019	280000	0
2020	280000	0
2021	280000	0
2022	280000	0
2023	280000	0
2024	280000	0
2025	280000	0
2026	280000	0
2027	280000	0
2028	280000	0
2029	280000	0
2030	280000	0
2031	280000	0
2032	280000	0
2033	280000	0
2034	280000	0
2035	280000	0
2036	280000	0
2037	280000	0
2038	280000	0
2039	280000	0
2040	280000	0
2041	280000	0
2042	280000	0
2043	280000	0
2044	280000	0
2045	280000	0
2046	280000	0
2047	280000	0
2048	280000	0
2049	280000	0
2050	280000	0
2051	280000	0
2052	280000	0
2053	280000	0
2054	280000	0
2055	280000	0
2056	280000	0
2057	280000	0
2058	280000	0
2059	280000	0
2060	280000	0
2061	280000	0
2062	280000	0
2063	280000	0
2064	280000	0
2065	280000	0
2066	280000	0
2067	280000	0
2068	280000	0
2069	280000	0
2070	280000	0
2071	280000	0
2072	280000	0
2073	280000	0
2074	280000	0
2075	280000	0
2076	280000	0
2077	280000	0
2078	280000	0
2079	280000	0
2080	280000	0
2081	280000	0
2082	280000	0
2083	280000	0
2084	280000	0
2085	280000	0
2086	280000	0
2087	280000	0
2088	280000	0
2089	280000	0
2090	280000	0
2091	280000	0
2092	280000	0
2093	280000	0
2094	280000	0
2095	280000	0
2096	280000	0
2097	280000	0
2098	280000	0
2099	280000	0
2100	280000	0
