Date(years)	Flow(m3/s)
1959    255.7977467
1960	334.3910333
1961	270.6495033
1962	205.8186167
1963	253.9891667
1964	198.4652333
1965	464.2043857
1966	366.2757
1967	266.5832833
1968	232.0159233
1969	219.4249433
1970	252.2799233
1971	170.38458
1972	220.5327133
1973	157.62808
1974	230.27255
1975	197.20802
1976	205.7786733
1977	420.9255467
1978	304.1904086
1979	306.5678867
1980	292.2418667
1981	296.95625
1982	231.4313643
1983	291.0187971
1984	296.7182033
1985	237.8060786
1986	251.9323957
1987	204.8189733
1988	325.3698067
1989	210.8993329
1990	263.51247
1991	186.8765733
1992	250.2119843
1993	322.1311057
1994	310.7950519
1995	444.4000471
1996	180.8831884
1997	240.0
